text,image
grinning face emoji,Apple0.png
grinning face with big eyes emoji,Apple1.png
grinning face with smiling eyes emoji,Apple2.png
beaming face with smiling eyes emoji,Apple3.png
grinning squinting face emoji,Apple4.png
rolling on the floor laughing emoji,Apple5.png
face with tears of joy emoji,Apple6.png
slightly smiling face emoji,Apple7.png
upside-down face emoji,Apple8.png
winking face emoji,Apple9.png
smiling face with smiling eyes emoji,Apple10.png
smiling face with halo emoji,Apple11.png
smiling face with hearts emoji,Apple12.png
smiling face with heart-eyes emoji,Apple13.png
star-struck emoji,Apple14.png
face blowing a kiss emoji,Apple15.png
kissing face emoji,Apple16.png
smiling face emoji,Apple17.png
kissing face with closed eyes emoji,Apple18.png
kissing face with smiling eyes emoji,Apple19.png
smiling face with tear emoji,Apple20.png
face savoring food emoji,Apple21.png
face with tongue emoji,Apple22.png
winking face with tongue emoji,Apple23.png
squinting face with tongue emoji,Apple24.png
money-mouth face emoji,Apple25.png
hugging face emoji,Apple26.png
face with hand over mouth emoji,Apple27.png
thinking face emoji,Apple28.png
zipper-mouth face emoji,Apple29.png
face with raised eyebrow emoji,Apple30.png
neutral face emoji,Apple31.png
expressionless face emoji,Apple32.png
face without mouth emoji,Apple33.png
face in clouds emoji,Apple34.png
smirking face emoji,Apple35.png
unamused face emoji,Apple36.png
face with rolling eyes emoji,Apple37.png
grimacing face emoji,Apple38.png
face exhaling emoji,Apple39.png
lying face emoji,Apple40.png
relieved face emoji,Apple41.png
sleepy face emoji,Apple42.png
drooling face emoji,Apple43.png
face with medical mask emoji,Apple44.png
face with thermometer emoji,Apple45.png
face with head-bandage emoji,Apple46.png
face vomiting emoji,Apple47.png
sneezing face emoji,Apple48.png
hot face emoji,Apple49.png
cold face emoji,Apple50.png
woozy face emoji,Apple51.png
knocked-out face emoji,Apple52.png
exploding head emoji,Apple53.png
cowboy hat face emoji,Apple54.png
partying face emoji,Apple55.png
disguised face emoji,Apple56.png
smiling face with sunglasses emoji,Apple57.png
nerd face emoji,Apple58.png
face with monocle emoji,Apple59.png
confused face emoji,Apple60.png
worried face emoji,Apple61.png
frowning face emoji,Apple62.png
face with open mouth emoji,Apple63.png
hushed face emoji,Apple64.png
astonished face emoji,Apple65.png
flushed face emoji,Apple66.png
pleading face emoji,Apple67.png
frowning face with open mouth emoji,Apple68.png
anguished face emoji,Apple69.png
fearful face emoji,Apple70.png
anxious face with sweat emoji,Apple71.png
crying face emoji,Apple72.png
loudly crying face emoji,Apple73.png
face screaming in fear emoji,Apple74.png
persevering face emoji,Apple75.png
disappointed face emoji,Apple76.png
weary face emoji,Apple77.png
tired face emoji,Apple78.png
yawning face emoji,Apple79.png
face with steam from nose emoji,Apple80.png
pouting face emoji,Apple81.png
angry face emoji,Apple82.png
face with symbols on mouth emoji,Apple83.png
smiling face with horns emoji,Apple84.png
angry face with horns emoji,Apple85.png
