text,image
grinning face emoji,0.png
grinning face with big eyes emoji,1.png
grinning face with smiling eyes emoji,2.png
beaming face with smiling eyes emoji,3.png
grinning squinting face emoji,4.png
grinning face with sweat emoji,5.png
rolling on the floor laughing emoji,6.png
face with tears of joy emoji,7.png
slightly smiling face emoji,8.png
upside-down face emoji,9.png
winking face emoji,10.png
smiling face with smiling eyes emoji,11.png
smiling face with halo emoji,12.png
smiling face with hearts emoji,13.png
smiling face with heart-eyes emoji,14.png
star-struck emoji,15.png
face blowing a kiss emoji,16.png
kissing face emoji,17.png
smiling face emoji,18.png
kissing face with closed eyes emoji,19.png
kissing face with smiling eyes emoji,20.png
smiling face with tear emoji,21.png
face savoring food emoji,22.png
face with tongue emoji,23.png
winking face with tongue emoji,24.png
zany face emoji,25.png
squinting face with tongue emoji,26.png
money-mouth face emoji,27.png
hugging face emoji,28.png
face with hand over mouth emoji,29.png
shushing face emoji,30.png
thinking face emoji,31.png
zipper-mouth face emoji,32.png
face with raised eyebrow emoji,33.png
neutral face emoji,34.png
expressionless face emoji,35.png
face without mouth emoji,36.png
face in clouds emoji,37.png
smirking face emoji,38.png
unamused face emoji,39.png
face with rolling eyes emoji,40.png
grimacing face emoji,41.png
face exhaling emoji,42.png
lying face emoji,43.png
relieved face emoji,44.png
pensive face emoji,45.png
sleepy face emoji,46.png
drooling face emoji,47.png
sleeping face emoji,48.png
face with medical mask emoji,49.png
face with thermometer emoji,50.png
face with head-bandage emoji,51.png
nauseated face emoji,52.png
face vomiting emoji,53.png
sneezing face emoji,54.png
hot face emoji,55.png
cold face emoji,56.png
woozy face emoji,57.png
knocked-out face emoji,58.png
face with spiral eyes emoji,59.png
exploding head emoji,60.png
cowboy hat face emoji,61.png
partying face emoji,62.png
disguised face emoji,63.png
smiling face with sunglasses emoji,64.png
nerd face emoji,65.png
face with monocle emoji,66.png
confused face emoji,67.png
worried face emoji,68.png
slightly frowning face emoji,69.png
frowning face emoji,70.png
face with open mouth emoji,71.png
hushed face emoji,72.png
astonished face emoji,73.png
flushed face emoji,74.png
pleading face emoji,75.png
frowning face with open mouth emoji,76.png
anguished face emoji,77.png
fearful face emoji,78.png
anxious face with sweat emoji,79.png
sad but relieved face emoji,80.png
crying face emoji,81.png
loudly crying face emoji,82.png
face screaming in fear emoji,83.png
confounded face emoji,84.png
persevering face emoji,85.png
disappointed face emoji,86.png
downcast face with sweat emoji,87.png
weary face emoji,88.png
tired face emoji,89.png
yawning face emoji,90.png
face with steam from nose emoji,91.png
pouting face emoji,92.png
angry face emoji,93.png
face with symbols on mouth emoji,94.png
smiling face with horns emoji,95.png
angry face with horns emoji,96.png
skull emoji,97.png
skull and crossbones emoji,98.png
pile of poo emoji,99.png
clown face emoji,100.png
ogre emoji,101.png
goblin emoji,102.png
ghost emoji,103.png
alien emoji,104.png
alien monster emoji,105.png
robot emoji,106.png
grinning cat emoji,107.png
grinning cat with smiling eyes emoji,108.png
cat with tears of joy emoji,109.png
smiling cat with heart-eyes emoji,110.png
