text,image
brain emoji,0.png
flag: Uzbekistan emoji,1.png
teacher emoji,2.png
ghost emoji,3.png
sauropod emoji,4.png
"family: man, girl emoji",5.png
flag: Solomon Islands emoji,6.png
flag: Syria emoji,7.png
Japanese âhereâ?button emoji,8.png
flag: New Caledonia emoji,9.png
woman genie emoji,10.png
cat emoji,11.png
pen emoji,12.png
chestnut emoji,13.png
envelope with arrow emoji,14.png
hot beverage emoji,15.png
flag: Brazil emoji,16.png
flag: Eritrea emoji,17.png
unamused face emoji,18.png
sunrise emoji,19.png
face with open mouth emoji,20.png
admission tickets emoji,21.png
motorcycle emoji,22.png
new moon face emoji,23.png
boomerang emoji,24.png
bellhop bell emoji,25.png
five-thirty emoji,26.png
cricket emoji,27.png
astonished face emoji,28.png
ATM sign emoji,29.png
no entry emoji,30.png
student emoji,31.png
falafel emoji,32.png
call me hand emoji,33.png
yawning face emoji,34.png
old key emoji,35.png
barber pole emoji,36.png
flag: Guinea-Bissau emoji,37.png
hook emoji,38.png
sport utility vehicle emoji,39.png
safety pin emoji,40.png
warning emoji,41.png
love-you gesture emoji,42.png
musical keyboard emoji,43.png
egg emoji,44.png
crossed fingers emoji,45.png
petri dish emoji,46.png
elephant emoji,47.png
service dog emoji,48.png
video game emoji,49.png
shortcake emoji,50.png
woman bowing emoji,51.png
flag: Kenya emoji,52.png
flag: Cameroon emoji,53.png
rescue workerâs helmet emoji,54.png
handshake emoji,55.png
red question mark emoji,56.png
clamp emoji,57.png
penguin emoji,58.png
pleading face emoji,59.png
woman elf emoji,60.png
transgender flag emoji,61.png
man: bald emoji,62.png
tamale emoji,63.png
face with medical mask emoji,64.png
joker emoji,65.png
flag: Germany emoji,66.png
man gesturing OK emoji,67.png
giraffe emoji,68.png
person golfing emoji,69.png
airplane emoji,70.png
beetle emoji,71.png
flag: Guernsey emoji,72.png
unicorn emoji,73.png
cocktail glass emoji,74.png
satellite antenna emoji,75.png
flag: Turkmenistan emoji,76.png
flag: Turkey emoji,77.png
confounded face emoji,78.png
flag: Honduras emoji,79.png
mobile phone emoji,80.png
pushpin emoji,81.png
club suit emoji,82.png
tram emoji,83.png
part alternation mark emoji,84.png
prince emoji,85.png
large blue diamond emoji,86.png
left arrow emoji,87.png
flag: Ascension Island emoji,88.png
trophy emoji,89.png
jeans emoji,90.png
raccoon emoji,91.png
carousel horse emoji,92.png
clockwise vertical arrows emoji,93.png
closed book emoji,94.png
sun behind large cloud emoji,95.png
fallen leaf emoji,96.png
poultry leg emoji,97.png
"family: man, girl, girl emoji",98.png
kiss emoji,99.png
spaghetti emoji,100.png
salt emoji,101.png
person wearing turban emoji,102.png
incoming envelope emoji,103.png
pig face emoji,104.png
carrot emoji,105.png
police car emoji,106.png
black large square emoji,107.png
man surfing emoji,108.png
volcano emoji,109.png
men room emoji,110.png
open mailbox with lowered flag emoji,111.png
person walking emoji,112.png
Libra emoji,113.png
person swimming emoji,114.png
sweat droplets emoji,115.png
manual wheelchair emoji,116.png
teapot emoji,117.png
woman detective emoji,118.png
flag: Mozambique emoji,119.png
adhesive bandage emoji,120.png
dotted six-pointed star emoji,121.png
olive emoji,122.png
flag: Monaco emoji,123.png
ballot box with ballot emoji,124.png
woman surfing emoji,125.png
writing hand emoji,126.png
zombie emoji,127.png
flag: Mayotte emoji,128.png
folded hands emoji,129.png
fire engine emoji,130.png
chequered flag emoji,131.png
up-right arrow emoji,132.png
"family: woman, girl emoji",133.png
Capricorn emoji,134.png
wheel of dharma emoji,135.png
person facepalming emoji,136.png
white exclamation mark emoji,137.png
upside-down face emoji,138.png
flag: Tunisia emoji,139.png
smiling face emoji,140.png
small blue diamond emoji,141.png
input latin letters emoji,142.png
avocado emoji,143.png
"family: man, woman, girl emoji",144.png
angry face emoji,145.png
grinning squinting face emoji,146.png
flag: Bulgaria emoji,147.png
roasted sweet potato emoji,148.png
woman tipping hand emoji,149.png
film projector emoji,150.png
cut of meat emoji,151.png
sari emoji,152.png
white flower emoji,153.png
police officer emoji,154.png
keycap: 1 emoji,155.png
person lifting weights emoji,156.png
man singer emoji,157.png
flag: Tuvalu emoji,158.png
woman gesturing OK emoji,159.png
fountain pen emoji,160.png
file cabinet emoji,161.png
pear emoji,162.png
nauseated face emoji,163.png
flag: Guatemala emoji,164.png
flexed biceps emoji,165.png
sun with face emoji,166.png
man shoe emoji,167.png
man raising hand emoji,168.png
cup with straw emoji,169.png
monorail emoji,170.png
flag: Svalbard & Jan Mayen emoji,171.png
flag: Puerto Rico emoji,172.png
postal horn emoji,173.png
flag: Slovenia emoji,174.png
fish emoji,175.png
women wrestling emoji,176.png
circus tent emoji,177.png
flag: Ecuador emoji,178.png
volleyball emoji,179.png
seven o'clock emoji,180.png
battery emoji,181.png
flag: Montenegro emoji,182.png
palms up together emoji,183.png
suspension railway emoji,184.png
lady beetle emoji,185.png
ice hockey emoji,186.png
artist palette emoji,187.png
koala emoji,188.png
