text,image
banana emoji,0.png
kiss emoji,1.png
cactus emoji,2.png
"family: woman, girl, boy emoji",3.png
receipt emoji,4.png
money-mouth face emoji,5.png
person golfing emoji,6.png
dizzy emoji,7.png
two hearts emoji,8.png
star-struck emoji,9.png
cherry blossom emoji,10.png
flag: RÃ©union emoji,11.png
cyclone emoji,12.png
grinning face with smiling eyes emoji,13.png
synagogue emoji,14.png
"family: man, boy, boy emoji",15.png
flag: Oman emoji,16.png
flag: Western Sahara emoji,17.png
videocassette emoji,18.png
globe with meridians emoji,19.png
yo-yo emoji,20.png
building construction emoji,21.png
biohazard emoji,22.png
red question mark emoji,23.png
flag: Wallis & Futuna emoji,24.png
1st place medal emoji,25.png
plunger emoji,26.png
delivery truck emoji,27.png
hippopotamus emoji,28.png
flag: Seychelles emoji,29.png
factory emoji,30.png
merperson emoji,31.png
sunset emoji,32.png
hot pepper emoji,33.png
hammer and wrench emoji,34.png
wedding emoji,35.png
man tipping hand emoji,36.png
potato emoji,37.png
thong sandal emoji,38.png
yen banknote emoji,39.png
axe emoji,40.png
smiling face with hearts emoji,41.png
potable water emoji,42.png
Taurus emoji,43.png
rolling on the floor laughing emoji,44.png
crab emoji,45.png
flag: Diego Garcia emoji,46.png
man surfing emoji,47.png
musical keyboard emoji,48.png
anatomical heart emoji,49.png
briefs emoji,50.png
horse emoji,51.png
bread emoji,52.png
gem stone emoji,53.png
clipboard emoji,54.png
seven o'clock emoji,55.png
flag: Slovakia emoji,56.png
seat emoji,57.png
spiral calendar emoji,58.png
anguished face emoji,59.png
blowfish emoji,60.png
man teacher emoji,61.png
man mechanic emoji,62.png
mobile phone emoji,63.png
input latin lowercase emoji,64.png
flag: New Caledonia emoji,65.png
incoming envelope emoji,66.png
battery emoji,67.png
flag: Sudan emoji,68.png
grinning cat emoji,69.png
fountain pen emoji,70.png
mouse trap emoji,71.png
flag: Honduras emoji,72.png
woman pouting emoji,73.png
speaker low volume emoji,74.png
deciduous tree emoji,75.png
input symbols emoji,76.png
flag: Martinique emoji,77.png
speaking head emoji,78.png
woman biking emoji,79.png
level slider emoji,80.png
man in manual wheelchair emoji,81.png
palm tree emoji,82.png
printer emoji,83.png
three-thirty emoji,84.png
smiling face with tear emoji,85.png
restroom emoji,86.png
face savoring food emoji,87.png
man shoe emoji,88.png
sleeping face emoji,89.png
man playing handball emoji,90.png
flag: Mauritania emoji,91.png
ferry emoji,92.png
flag: Belgium emoji,93.png
smiling face with halo emoji,94.png
person mountain biking emoji,95.png
motor scooter emoji,96.png
man standing emoji,97.png
bento box emoji,98.png
person bouncing ball emoji,99.png
person: blond hair emoji,100.png
cupcake emoji,101.png
moai emoji,102.png
white question mark emoji,103.png
bowl with spoon emoji,104.png
hollow red circle emoji,105.png
scroll emoji,106.png
cricket game emoji,107.png
woman rowing boat emoji,108.png
heart decoration emoji,109.png
man in steamy room emoji,110.png
ballet shoes emoji,111.png
pound banknote emoji,112.png
timer clock emoji,113.png
fire extinguisher emoji,114.png
credit card emoji,115.png
cross mark button emoji,116.png
men with bunny ears emoji,117.png
unicorn emoji,118.png
inbox tray emoji,119.png
bicycle emoji,120.png
SOON arrow emoji,121.png
cat with wry smile emoji,122.png
five o'clock emoji,123.png
high voltage emoji,124.png
woman student emoji,125.png
man supervillain emoji,126.png
chicken emoji,127.png
locked with pen emoji,128.png
woman standing emoji,129.png
tractor emoji,130.png
see-no-evil monkey emoji,131.png
card index dividers emoji,132.png
check mark emoji,133.png
woman walking emoji,134.png
"family: man, woman, girl, boy emoji",135.png
cricket emoji,136.png
passport control emoji,137.png
pill emoji,138.png
spouting whale emoji,139.png
two o'clock emoji,140.png
princess emoji,141.png
flag: North Korea emoji,142.png
ear of corn emoji,143.png
couple with heart emoji,144.png
flag: Taiwan emoji,145.png
flag: Dominica emoji,146.png
barber pole emoji,147.png
flag: Mauritius emoji,148.png
tropical drink emoji,149.png
deaf man emoji,150.png
Virgo emoji,151.png
pleading face emoji,152.png
magic wand emoji,153.png
clapper board emoji,154.png
slightly smiling face emoji,155.png
turtle emoji,156.png
fishing pole emoji,157.png
flag in hole emoji,158.png
wheelchair symbol emoji,159.png
woman supervillain emoji,160.png
bank emoji,161.png
white flag emoji,162.png
train emoji,163.png
fairy emoji,164.png
chart increasing emoji,165.png
person taking bath emoji,166.png
framed picture emoji,167.png
smiling face with sunglasses emoji,168.png
clapping hands emoji,169.png
houses emoji,170.png
star and crescent emoji,171.png
"family: man, woman, girl emoji",172.png
trophy emoji,173.png
flag: United States emoji,174.png
derelict house emoji,175.png
meat on bone emoji,176.png
pushpin emoji,177.png
flag: Armenia emoji,178.png
nine-thirty emoji,179.png
flag: Brunei emoji,180.png
flag: Cyprus emoji,181.png
green apple emoji,182.png
fireworks emoji,183.png
rooster emoji,184.png
bed emoji,185.png
kick scooter emoji,186.png
snowman without snow emoji,187.png
speedboat emoji,188.png
computer disk emoji,189.png
violin emoji,190.png
UP! button emoji,191.png
peanuts emoji,192.png
rice cracker emoji,193.png
hot face emoji,194.png
boomerang emoji,195.png
sunflower emoji,196.png
chocolate bar emoji,197.png
department store emoji,198.png
flag: St. Martin emoji,199.png
ship emoji,200.png
pinching hand emoji,201.png
Japanese âacceptableâ?button emoji,202.png
seven-thirty emoji,203.png
brown circle emoji,204.png
people holding hands emoji,205.png
sunrise over mountains emoji,206.png
rocket emoji,207.png
person cartwheeling emoji,208.png
flag: Micronesia emoji,209.png
waxing crescent moon emoji,210.png
coffin emoji,211.png
kissing face emoji,212.png
face with rolling eyes emoji,213.png
blue heart emoji,214.png
"family: man, man, boy, boy emoji",215.png
man pouting emoji,216.png
disappointed face emoji,217.png
flag: Dominican Republic emoji,218.png
man cartwheeling emoji,219.png
peacock emoji,220.png
woman health worker emoji,221.png
camera with flash emoji,222.png
counterclockwise arrows button emoji,223.png
rock emoji,224.png
flag: Tokelau emoji,225.png
tennis emoji,226.png
worried face emoji,227.png
man walking emoji,228.png
tangerine emoji,229.png
eight o'clock emoji,230.png
avocado emoji,231.png
NG button emoji,232.png
safety pin emoji,233.png
tiger emoji,234.png
toothbrush emoji,235.png
black large square emoji,236.png
house emoji,237.png
cowboy hat face emoji,238.png
petri dish emoji,239.png
down arrow emoji,240.png
knocked-out face emoji,241.png
man zombie emoji,242.png
diving mask emoji,243.png
sparkler emoji,244.png
bus emoji,245.png
spade suit emoji,246.png
flag: China emoji,247.png
briefcase emoji,248.png
diamond with a dot emoji,249.png
