name,image_path
flag: United States,Apple0.png
salt,Apple1.png
person tipping hand,Apple2.png
plunger,Apple3.png
children crossing,Apple4.png
guide dog,Apple5.png
women wrestling,Apple6.png
blueberries,Apple7.png
face with rolling eyes,Apple8.png
lipstick,Apple9.png
compass,Apple10.png
anxious face with sweat,Apple11.png
crying face,Apple12.png
"family: man, girl, girl",Apple13.png
badminton,Apple14.png
pager,Apple15.png
woman in lotus position,Apple16.png
man superhero,Apple17.png
police officer,Apple18.png
party popper,Apple19.png
flag: Norfolk Island,Apple20.png
bear,Apple21.png
kissing face with smiling eyes,Apple22.png
Virgo,Apple23.png
OK button,Apple24.png
guitar,Apple25.png
grimacing face,Apple26.png
musical score,Apple27.png
bright button,Apple28.png
flying saucer,Apple29.png
face exhaling,Apple30.png
backhand index pointing down,Apple31.png
beaming face with smiling eyes,Apple32.png
face savoring food,Apple33.png
backhand index pointing left,Apple34.png
potable water,Apple35.png
man,Apple36.png
new moon face,Apple37.png
droplet,Apple38.png
cigarette,Apple39.png
globe showing Europe-Africa,Apple40.png
sneezing face,Apple41.png
flat shoe,Apple42.png
face with spiral eyes,Apple43.png
white square button,Apple44.png
collision,Apple45.png
flag: Maldives,Apple46.png
bug,Apple47.png
parachute,Apple48.png
flag: Cameroon,Apple49.png
notebook with decorative cover,Apple50.png
canoe,Apple51.png
ladder,Apple52.png
information,Apple53.png
Gemini,Apple54.png
fondue,Apple55.png
clinking beer mugs,Apple56.png
man student,Apple57.png
glowing star,Apple58.png
teacup without handle,Apple59.png
toilet,Apple60.png
billed cap,Apple61.png
"family: man, man, girl, boy",Apple62.png
person bowing,Apple63.png
hugging face,Apple64.png
world map,Apple65.png
cross mark button,Apple66.png
cityscape,Apple67.png
smiling face with tear,Apple68.png
grinning face,Apple69.png
chess pawn,Apple70.png
leopard,Apple71.png
smiling face,Apple72.png
globe showing Americas,Apple73.png
Japanese post office,Apple74.png
police car light,Apple75.png
zombie,Apple76.png
right arrow curving down,Apple77.png
motorway,Apple78.png
flag: Benin,Apple79.png
woman kneeling,Apple80.png
shushing face,Apple81.png
grinning squinting face,Apple82.png
custard,Apple83.png
radio button,Apple84.png
dagger,Apple85.png
hut,Apple86.png
check mark button,Apple87.png
hot face,Apple88.png
woman student,Apple89.png
sparkler,Apple90.png
kitchen knife,Apple91.png
face with symbols on mouth,Apple92.png
confused face,Apple93.png
infinity,Apple94.png
rosette,Apple95.png
left arrow,Apple96.png
service dog,Apple97.png
cold face,Apple98.png
reverse button,Apple99.png
face with symbols on mouth,Google0.png
face without mouth,Google1.png
spouting whale,Google2.png
face with thermometer,Google3.png
cucumber,Google4.png
open book,Google5.png
safety vest,Google6.png
right arrow curving down,Google7.png
rhinoceros,Google8.png
flag: Peru,Google9.png
flag: Laos,Google10.png
goal net,Google11.png
face blowing a kiss,Google12.png
doughnut,Google13.png
flag: Malawi,Google14.png
lobster,Google15.png
hammer and wrench,Google16.png
poultry leg,Google17.png
"couple with heart: man, man",Google18.png
mouse face,Google19.png
cockroach,Google20.png
seven-thirty,Google21.png
microbe,Google22.png
snowboarder,Google23.png
shower,Google24.png
fireworks,Google25.png
pinching hand,Google26.png
nauseated face,Google27.png
flag: Central African Republic,Google28.png
flag: Sudan,Google29.png
brick,Google30.png
flag: Seychelles,Google31.png
office building,Google32.png
flag: Diego Garcia,Google33.png
woman elf,Google34.png
tennis,Google35.png
gem stone,Google36.png
railway car,Google37.png
goat,Google38.png
oncoming automobile,Google39.png
face exhaling,Google40.png
person in lotus position,Google41.png
snake,Google42.png
exploding head,Google43.png
"family: woman, girl, girl",Google44.png
hear-no-evil monkey,Google45.png
chipmunk,Google46.png
"family: woman, woman, girl, girl",Google47.png
face with monocle,Google48.png
flag: South Sudan,Google49.png
flushed face,Google50.png
anguished face,Google51.png
"family: man, girl, girl",Google52.png
skull and crossbones,Google53.png
man facepalming,Google54.png
loudly crying face,Google55.png
flying disc,Google56.png
cityscape,Google57.png
flag: Mayotte,Google58.png
man,Google59.png
face with tears of joy,Google60.png
downcast face with sweat,Google61.png
disguised face,Google62.png
baggage claim,Google63.png
flag: Micronesia,Google64.png
woman clothes,Google65.png
nesting dolls,Google66.png
grinning face,Google67.png
flag: Tokelau,Google68.png
smiling face,Google69.png
flying saucer,Google70.png
orange book,Google71.png
burrito,Google72.png
flag: South Georgia & South Sandwich Islands,Google73.png
flag: Turks & Caicos Islands,Google74.png
fleur-de-lis,Google75.png
dodo,Google76.png
next track button,Google77.png
woman golfing,Google78.png
face with steam from nose,Google79.png
