name,image_path
flag: United States in Apple style emoji,Apple0.png
salt in Apple style emoji,Apple1.png
person tipping hand in Apple style emoji,Apple2.png
plunger in Apple style emoji,Apple3.png
children crossing in Apple style emoji,Apple4.png
guide dog in Apple style emoji,Apple5.png
women wrestling in Apple style emoji,Apple6.png
blueberries in Apple style emoji,Apple7.png
face with rolling eyes in Apple style emoji,Apple8.png
lipstick in Apple style emoji,Apple9.png
compass in Apple style emoji,Apple10.png
anxious face with sweat in Apple style emoji,Apple11.png
crying face in Apple style emoji,Apple12.png
"family: man, girl, girl in Apple style emoji",Apple13.png
badminton in Apple style emoji,Apple14.png
pager in Apple style emoji,Apple15.png
woman in lotus position in Apple style emoji,Apple16.png
man superhero in Apple style emoji,Apple17.png
police officer in Apple style emoji,Apple18.png
party popper in Apple style emoji,Apple19.png
flag: Norfolk Island in Apple style emoji,Apple20.png
bear in Apple style emoji,Apple21.png
kissing face with smiling eyes in Apple style emoji,Apple22.png
Virgo in Apple style emoji,Apple23.png
OK button in Apple style emoji,Apple24.png
guitar in Apple style emoji,Apple25.png
grimacing face in Apple style emoji,Apple26.png
musical score in Apple style emoji,Apple27.png
bright button in Apple style emoji,Apple28.png
flying saucer in Apple style emoji,Apple29.png
face exhaling in Apple style emoji,Apple30.png
backhand index pointing down in Apple style emoji,Apple31.png
beaming face with smiling eyes in Apple style emoji,Apple32.png
face savoring food in Apple style emoji,Apple33.png
backhand index pointing left in Apple style emoji,Apple34.png
potable water in Apple style emoji,Apple35.png
man in Apple style emoji,Apple36.png
new moon face in Apple style emoji,Apple37.png
droplet in Apple style emoji,Apple38.png
cigarette in Apple style emoji,Apple39.png
globe showing Europe-Africa in Apple style emoji,Apple40.png
sneezing face in Apple style emoji,Apple41.png
flat shoe in Apple style emoji,Apple42.png
face with spiral eyes in Apple style emoji,Apple43.png
white square button in Apple style emoji,Apple44.png
collision in Apple style emoji,Apple45.png
flag: Maldives in Apple style emoji,Apple46.png
bug in Apple style emoji,Apple47.png
parachute in Apple style emoji,Apple48.png
flag: Cameroon in Apple style emoji,Apple49.png
notebook with decorative cover in Apple style emoji,Apple50.png
canoe in Apple style emoji,Apple51.png
ladder in Apple style emoji,Apple52.png
information in Apple style emoji,Apple53.png
Gemini in Apple style emoji,Apple54.png
fondue in Apple style emoji,Apple55.png
clinking beer mugs in Apple style emoji,Apple56.png
man student in Apple style emoji,Apple57.png
glowing star in Apple style emoji,Apple58.png
teacup without handle in Apple style emoji,Apple59.png
toilet in Apple style emoji,Apple60.png
billed cap in Apple style emoji,Apple61.png
"family: man, man, girl, boy in Apple style emoji",Apple62.png
person bowing in Apple style emoji,Apple63.png
hugging face in Apple style emoji,Apple64.png
world map in Apple style emoji,Apple65.png
cross mark button in Apple style emoji,Apple66.png
cityscape in Apple style emoji,Apple67.png
smiling face with tear in Apple style emoji,Apple68.png
grinning face in Apple style emoji,Apple69.png
chess pawn in Apple style emoji,Apple70.png
leopard in Apple style emoji,Apple71.png
smiling face in Apple style emoji,Apple72.png
globe showing Americas in Apple style emoji,Apple73.png
Japanese post office in Apple style emoji,Apple74.png
police car light in Apple style emoji,Apple75.png
zombie in Apple style emoji,Apple76.png
right arrow curving down in Apple style emoji,Apple77.png
